"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"Myo9a",7.24106455744778,7.66489656967567,7.70150435982924,7.75506956776401,6.78609358447844,6.61858312125534,6.19960454153119,5.87449376014101,5.63758429289296,6.07246983262719,6.19230593696816
"Bloc1s6",5.58232040303485,5.68860728081212,5.85981891528598,5.41313241712453,5.82445366327451,6.46620429963148,6.72318279416317,6.7210670264156,6.07387633811273,6.7251033393415,6.82261828483875
"Tomm40l",2.38415669675622,2.06066421644744,2.31183165830604,2.33031594073055,2.47078739780273,1.87457806862931,2.02404620594619,2.06566041434253,1.74570351180378,1.96296048899255,1.50094600962417
"Lzic",4.82830651546689,4.67659692536128,4.76327638604705,4.7577669006383,4.6653693750782,5.32765978687077,5.40892620646147,5.44244529287679,5.25110724441951,5.07115650068316,5.12709514487648
"Sptlc2",6.84659006859626,6.84833167520429,6.933082730168,6.9335248444087,7.11873664777802,7.29857188396297,7.59554071430968,7.43795272640643,6.93327026083788,7.46251422693796,7.47040907666435
"Ube3b",7.50362921583987,7.55038433136342,7.76794077756854,7.79301217233559,7.48662707375986,7.38489791361779,7.5427409144945,7.33790510633611,7.31867621542199,7.35689558531874,7.47725113914045
"Xpr1",5.55148692224566,5.76233306781806,5.7171626357694,5.85569197392048,5.01333475613959,4.93514347865891,4.69341372196158,4.31395118979002,4.84359133247321,4.64174034948419,4.08420218839492
"L3mbtl3",3.05100514396587,3.00567835717114,2.39137042329125,3.00664721216224,2.92506170464803,3.1265349475079,2.5420020181706,2.9912964794046,3.60935236619308,3.79279942520154,3.47773861846284
"Phf2",4.13774739430123,5.28889665135426,5.18603525767153,5.08503162189211,4.32848940462101,5.81090305551222,5.77767886325287,5.73171024249034,5.7328831475847,5.62930069291866,5.65429141263455
"Grk4",0.590348306536559,0.803213928885348,1.15788029307147,1.18909652299875,0.891208093778477,1.07590887443793,1.546724428413,1.68921816037626,0.413859948051335,1.48356374391733,1.54130374724031
