"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Fnta",291,16,2.70710567796345e-05,2.57057431450013e-05,33,-0.071933346529937,0.822,0.879859751256946
"Hook3",498,21,4.63277878909209e-05,3.37387878778142e-05,80,-0.446140076103623,0.0899,0.162124609897459
"Rnf170",152,12,1.4140208352249e-05,1.9279307358751e-05,14,0.42162331869251,0.3404,0.464468881767583
"Zfp703",127,10,1.18145161890501e-05,1.60660894656258e-05,8,0.413353505362633,0.3639,0.488217412935323
"Erlin2",148,8,1.37680976061371e-05,1.28528715725006e-05,7,-0.0922989286191473,0.8321,0.887383205905615
"Prosc",322,23,2.99549150620011e-05,3.69520057709393e-05,34,0.294007633733206,0.3245,0.447681616643929
"Adgra2",90,0,8.37249178751583e-06,0,4,-3.22843265637729,0.0018,0.00655355535553555
"Rab11fip1",377,28,3.50714378210385e-05,4.49850505037522e-05,57,0.350307994239827,0.2345,0.350860921028297
"Eif4ebp1",1027,31,9.55394340642085e-05,4.980487734344e-05,237,-0.926151364899948,0,0
"Rnf122",87,3,8.09340872793197e-06,4.81982683968774e-06,5,-0.64384497162258,0.2338,0.350202184780596
"Mak16",440,5,4.09321820722996e-05,8.0330447328129e-06,56,-2.21477364896075,0,0
"Wrn",155,13,1.44192914118328e-05,2.08859163053135e-05,13,0.505266318831284,0.2319,0.347871500092713
"Ubxn8",99,13,9.20974096626742e-06,2.08859163053135e-05,5,1.10005652333356,0.0555,0.109537692120029
"Gsr",321,107,2.98618873754731e-05,0.000171907157282196,73,2.48609939031125,0,0
"Gtf2e2",490,19,4.55835663986973e-05,3.0525569984689e-05,66,-0.563298640472282,0.0256,0.0587529078014184
"Rbpms",129,18,1.2000571562106e-05,2.89189610381264e-05,5,1.20248502541349,0.0189,0.0459438100961538
"Gm26632",39,6,3.62807977459019e-06,9.63965367937548e-06,4,1.20096555426874,0.0961,0.171282000440626
"Dctn6",270,14,2.51174753625475e-05,2.24925252518761e-05,16,-0.152813646514212,0.6241,0.726052487776819
"Leprotl1",1020,28,9.48882402585128e-05,4.49850505037522e-05,233,-1.06018896897951,0,0
"Saraf",924,26,8.59575823518292e-05,4.17718326106271e-05,208,-1.02365080768496,0,0
"Tnks",91,6,8.46551947404379e-06,9.63965367937548e-06,4,0.168697602609984,0.7353,0.817561434854316
"Eri1",549,38,5.10721999038466e-05,6.1051139969378e-05,107,0.252944357178515,0.318,0.440743532636628
"Mfhas1",102,24,9.48882402585128e-06,3.85586147175019e-05,11,1.9151389694707,0.0024,0.00835456110154905
"Tusc3",432,14,4.0187960580076e-05,2.24925252518761e-05,64,-0.810020893545253,0.0062,0.0185016599040944
"Zdhhc2",99,4,9.20974096626742e-06,6.42643578625032e-06,9,-0.459204383009047,0.4068,0.531408364282254
"Cnot7",314,14,2.92106935697775e-05,2.24925252518761e-05,36,-0.36285750603642,0.2356,0.3519403839055
"Vps37a",205,18,1.90706757382305e-05,2.89189610381264e-05,14,0.575970887175884,0.1246,0.211901198234181
"Pcm1",404,15,3.75831853572933e-05,2.40991341984387e-05,61,-0.620334655699949,0.0341,0.0738802892340654
"Asah1",1841,59,0.000171263970897963,9.47899278471922e-05,501,-0.84667512062381,0,0
"Frg1",996,33,9.26555757818419e-05,5.30180952365651e-05,225,-0.793922118794464,1e-04,0.000512999365884591
"Cyp4v3",192,11,1.78613158133671e-05,1.76726984121884e-05,16,-0.0144998975223651,0.9711,0.981411492816989
"Fam149a",604,9,5.6188722662884e-05,1.44594805190632e-05,128,-1.88723884105844,0,0
"Tlr3",1393,0,0.000129587567333439,0,365,-7.02887374056263,0,0
"Pdlim3",48,0,4.46532895334178e-06,0,6,-2.45030833305588,0.055,0.108736559139785
"Ufsp2",538,20,5.00488953520391e-05,3.21321789312516e-05,90,-0.623646657841598,0.013,0.0338711755233494
"Cfap97",174,9,1.61868174558639e-05,1.44594805190632e-05,9,-0.152810579005932,0.7033,0.791995684855234
"Slc25a4",2663,166,0.000247732729223941,0.000266697085129388,757,0.106005074511439,0.3827,0.507631251024758
"Acsl1",132,12,1.22796546216899e-05,1.9279307358751e-05,10,0.610790752380687,0.2029,0.312897636294319
"Cenpu",60,0,5.58166119167722e-06,0,8,-2.71845176185152,0.0229,0.0536521865044888
"Primpol",107,15,9.95396245849105e-06,2.40991341984387e-05,5,1.19618475779935,0.0343,0.0742142284033164
"Casp3",73,12,6.79102111654062e-06,1.9279307358751e-05,4,1.38012404773541,0.0209,0.0499353219137625
"Irf2",870,38,8.09340872793197e-05,6.1051139969378e-05,182,-0.401006070417366,0.0532,0.10577242565741
"Trappc11",94,7,8.74460253362765e-06,1.12462626259381e-05,5,0.329666281072274,0.5552,0.668089840844861
"Rwdd4a",216,14,2.0093980290038e-05,2.24925252518761e-05,18,0.155370451931457,0.6706,0.764321499013807
"Ing2",301,18,2.80013336449141e-05,2.89189610381264e-05,41,0.0449408322369868,0.8963,0.9305784137577
"Cdkn2aip",135,9,1.25587376812737e-05,1.44594805190632e-05,5,0.189268971776347,0.6704,0.764308906426156
"Aga",235,10,2.18615063340691e-05,1.60660894656258e-05,23,-0.421787948998692,0.2461,0.363311861313869
"Neil3",179,0,1.66519558885037e-05,0,44,-4.1417561420841,2e-04,0.000972355769230769
"Spcs3",828,19,7.70269244451457e-05,3.0525569984689e-05,177,-1.30744958018717,0,0
"Hpgd",792,11,7.36779277301393e-05,1.76726984121884e-05,195,-1.99975146607863,0,0
"Cep44",126,10,1.17214885025222e-05,1.60660894656258e-05,7,0.423865030353973,0.3485,0.473127202550764
"Fbxo8",139,6,1.29308484273856e-05,9.63965367937548e-06,7,-0.388831932858654,0.3824,0.507399704772839
"Sap30",863,25,8.0282893473624e-05,4.01652236640645e-05,186,-0.981525694723382,0,0
"Hmgb2",6582,105,0.000612308232726991,0.000168693939389071,634,-1.85367727707137,0,0
"Galnt7",263,45,2.44662815568518e-05,7.22974025953161e-05,40,1.52517375439968,5e-04,0.00215388711395101
"2700029M09Rik",696,14,6.47472698234558e-05,2.24925252518761e-05,131,-1.48472918782021,0,0
"Clcn3",351,12,3.26527179713117e-05,1.9279307358751e-05,40,-0.73071465138892,0.0221,0.0522469316189363
"Nek1",65,5,6.04679962431699e-06,8.0330447328129e-06,6,0.358244161580825,0.554,0.667241327973798
"Cbr4",145,4,1.34890145465533e-05,6.42643578625032e-06,11,-0.964217594292143,0.0469,0.0958133838383838
"Palld",158,18,1.46983744714167e-05,2.89189610381264e-05,11,0.930444897978668,0.0411,0.0861396373056995
"Msmo1",629,74,5.85144148260829e-05,0.000118889062045631,140,1.01038899483192,0.0016,0.00592402745995423
"Tmem192",372,10,3.46062993883988e-05,1.60660894656258e-05,41,-1.06099998602118,0.001,0.0039214735821619
"March1",1001,6,9.31207142144817e-05,9.63965367937548e-06,236,-3.14506107628624,0,0
"Tma16",200,6,1.86055373055907e-05,9.63965367937548e-06,17,-0.881809988725859,0.0364,0.0779449444150344
"Ints10",221,7,2.05591187226778e-05,1.12462626259381e-05,14,-0.815956678199753,0.0345,0.0745871191876002
"Lpl",193,13,1.79543434998951e-05,2.08859163053135e-05,43,0.207474298677826,0.721,0.805314096368908
"Atp6v1b2",625,71,5.81423040799711e-05,0.000114069235205943,107,0.960239813017276,1e-04,0.000512999365884591
"Zfp866",80,5,7.4422149222363e-06,8.0330447328129e-06,5,0.0975907952653386,0.8647,0.90967789336801
"Atp13a1",204,7,1.89776480517026e-05,1.12462626259381e-05,14,-0.706045218398596,0.0671,0.127817047327525
"Gmip",384,21,3.57226316267342e-05,3.37387878778142e-05,51,-0.0801220335117686,0.7839,0.854089660743134
"Ndufa13",4458,154,0.000414717426541618,0.000247417777770637,1190,-0.74283480356533,0,0
"Gatad2a",402,16,3.73971299842374e-05,2.57057431450013e-05,61,-0.523848449003181,0.0596,0.116128131021195
"Mau2",269,11,2.50244476760195e-05,1.76726984121884e-05,14,-0.478937117060445,0.1413,0.234581777139339
"Sugp1",155,15,1.44192914118328e-05,2.40991341984387e-05,6,0.702901130642703,0.0969,0.172517825704225
"Nr2c2ap",438,18,4.07461266992437e-05,2.89189610381264e-05,70,-0.480582270004187,0.0817,0.15014834166288
"Borcs8",505,34,4.69789816966166e-05,5.46247041831277e-05,68,0.21332322034016,0.3784,0.502834428383706
"Tmem161a",130,10,1.2093599248634e-05,1.60660894656258e-05,7,0.382270787558532,0.4044,0.529298818961333
"Sugp2",120,5,1.11633223833544e-05,8.0330447328129e-06,5,-0.42925309309415,0.3727,0.497712611422912
"Ddx49",310,22,2.88385828236656e-05,3.53453968243768e-05,37,0.284593640387251,0.3713,0.496416625351182
"Cope",2045,98,0.000190241618949665,0.000157447676763133,568,-0.271390017558425,0.0412,0.0862375161707633
"Upf1",131,9,1.21866269351619e-05,1.44594805190632e-05,12,0.229416263047249,0.6377,0.737525804145818
"2810428I15Rik",960,61,8.93065790668356e-05,9.80031457403174e-05,219,0.132643270738371,0.4784,0.599667802912922
"Uba52",290,13,2.69780290931066e-05,2.08859163053135e-05,25,-0.354291548647359,0.2744,0.394507908299271
"Kxd1",1081,63,0.000100562929136718,0.000101216363633443,267,0.00925226431197177,0.958,0.97291237760482
"Fkbp8",1295,78,0.0001204708540537,0.000125315497831881,358,0.0564214639556495,0.7221,0.806320082815735
"Isyna1",914,18,8.50273054865497e-05,2.89189610381264e-05,221,-1.52373457369009,0,0
"Ssbp4",719,6,6.68869066135987e-05,9.63965367937548e-06,131,-2.67368215599085,0,0
"Lrrc25",729,8,6.78171834788783e-05,1.28528715725006e-05,143,-2.31258378260986,0,0
"Lsm4",2455,74,0.000228382970426126,0.000118889062045631,679,-0.936058246535332,0,0
"Jund",6001,143,0.00055825914685425,0.000229745079358449,1163,-1.27721706448538,0,0
"Gm3336",164,3,1.52565405905844e-05,4.81982683968774e-06,19,-1.48197214937489,0.0057,0.0172772573997752
"Mpv17l2",385,5,3.58156593132622e-05,8.0330447328129e-06,54,-2.02703527991943,0,0
"Ifi30",5801,700,0.000539653609548659,0.00112462626259381,1207,1.05795141709632,0,0
"Pik3r2",151,6,1.4047180665721e-05,9.63965367937548e-06,7,-0.500042008007576,0.2451,0.362364583333333
"Ccdc124",916,58,8.52133608596056e-05,9.31833189006296e-05,207,0.127560094907752,0.4775,0.598910852713178
"Rpl18a",62557,2247,0.0058195329861292,0.00361005030292612,1700,-0.688732749182308,0,0
"Map1s",137,7,1.27447930543297e-05,1.12462626259381e-05,8,-0.166543657670007,0.7089,0.796306720355457
"Haus8",466,75,4.33509019220264e-05,0.000120495670992193,101,1.45386956148116,0,0
"Myo9b",297,23,2.76292228988022e-05,3.69520057709393e-05,32,0.406687623491096,0.2031,0.313086699695122
"Use1",2236,143,0.000208009907076504,0.000229745079358449,691,0.142728554990708,0.2309,0.346950408618128
"Ocel1",150,14,1.39541529791931e-05,2.24925252518761e-05,10,0.651655602624485,0.1305,0.219535246412976
"Babam1",590,28,5.48863350514927e-05,4.49850505037522e-05,101,-0.281330643281837,0.2345,0.350860921028297
"Ankle1",69,1,6.41891037042881e-06,1.60660894656258e-06,16,-1.50903315053913,0.1121,0.194111515410959
"Mrpl34",578,26,5.37700028131572e-05,4.17718326106271e-05,90,-0.356724931924477,0.1198,0.205204742748253
"Dda1",497,35,4.6234760204393e-05,5.62313131296903e-05,79,0.276955774708946,0.2699,0.390118098981597
"Bst2",1209,90,0.000112470473012296,0.000144594805190632,296,0.359641949179796,0.0565,0.111131777291515
"Mvb12a",865,42,8.046894884668e-05,6.74775757556284e-05,195,-0.250618665606942,0.2211,0.334523845146811
"Pgls",2347,175,0.000218335980281107,0.000281156565648451,719,0.363353427001229,0.0032,0.0106359901396878
"Colgalt1",795,46,7.39570107897232e-05,7.39040115418787e-05,175,-0.00102043552131523,0.995,0.997095255790908
"Fcho1",249,11,2.31638939454605e-05,1.76726984121884e-05,24,-0.371922531682509,0.2829,0.403572738494093
"Zfp617",80,6,7.4422149222363e-06,9.63965367937548e-06,5,0.333757728831404,0.563,0.67376775147929
"Cyp4f18",199,14,1.85125096190628e-05,2.24925252518761e-05,38,0.267802456045232,0.6013,0.706333236532598
"Tpm4",2534,294,0.000235732157661835,0.000472343030289398,717,0.999630384535472,0,0
"Rab8a",1040,86,9.67487939890719e-05,0.000138168369404382,259,0.509680540606058,0.0054,0.0165102040816327
"Fam32a",1070,359,9.95396245849105e-05,0.000576772611815966,311,2.52273761024735,0,0
"Ap1m1",532,42,4.94907292328714e-05,6.74775757556284e-05,93,0.439613114078467,0.0712,0.134518449322746
"Klf2",4081,119,0.000379645988720579,0.000191186464640947,791,-0.985943141858267,0,0
"Eps15l1",115,11,1.06981839507147e-05,1.76726984121884e-05,7,0.674645847726186,0.1788,0.283015456857758
"Cherp",177,4,1.64659005154478e-05,6.42643578625032e-06,8,-1.23379914711071,0.0074,0.0214573476702509
"Smim7",530,27,4.93046738598155e-05,4.33784415571897e-05,81,-0.180833443424383,0.4582,0.580099843505477
"Sin3b",1202,80,0.0001118192792066,0.000128528715725006,319,0.199258345226351,0.2108,0.322072143531634
"Large",53,17,4.93046738598155e-06,2.73123520915639e-05,6,2.25521389371663,0.0134,0.0347789541225537
"Hmgxb4",217,7,2.0187007976566e-05,1.12462626259381e-05,19,-0.79083833739699,0.0397,0.0836823866597186
"Hmox1",121,7,1.12563500698824e-05,1.12462626259381e-05,8,-0.00118788199092056,0.9979,0.998740722414646
"Mcm5",582,12,5.41421135592691e-05,1.9279307358751e-05,139,-1.44314618808962,0.0023,0.00805497835497835
"Prmt10",76,3,7.07010417612448e-06,4.81982683968774e-06,5,-0.471611068699693,0.4054,0.530178790817976
"Rbmxl1",782,27,7.27476508648598e-05,4.33784415571897e-05,158,-0.732738089789027,0.0019,0.00684372217275156
"Slc10a7",99,3,9.20974096626742e-06,4.81982683968774e-06,5,-0.810898130091319,0.1211,0.207036982248521
"Lsm6",1883,61,0.000175171133732137,9.80031457403174e-05,521,-0.831431281466238,0,0
"Smad1",197,14,1.83264542460069e-05,2.24925252518761e-05,15,0.281624823617276,0.4667,0.58810015576324
"Otud4",97,8,9.02368559321151e-06,1.28528715725006e-05,6,0.466771996296499,0.3888,0.514036934139565
"Abce1",323,11,3.0047942748529e-05,1.76726984121884e-05,37,-0.733567249875077,0.0262,0.059841332580463
"Anapc10",318,27,2.95828043158893e-05,4.33784415571897e-05,34,0.537138303241715,0.0764,0.142249942462601
"Smarca5",1101,65,0.000102423482867277,0.000104429581526568,277,0.0277159217988733,0.8841,0.921222179289026
"Usp38",106,6,9.86093477196309e-06,9.63965367937548e-06,5,-0.0296970855431384,0.9662,0.978047797797798
"Il15",118,36,1.09772670102985e-05,5.78379220762529e-05,16,2.29644754769652,4e-04,0.0017809576224546
"Zfp330",351,16,3.26527179713117e-05,2.57057431450013e-05,39,-0.333572998320265,0.2485,0.365867564125887
"Rnf150",222,4,2.06521464092057e-05,6.42643578625032e-06,20,-1.5437681678115,0.0012,0.00457708628005658
"Tbc1d9",706,17,6.56775466887353e-05,2.73123520915639e-05,124,-1.2357694149642,0,0
"Scoc",270,12,2.51174753625475e-05,1.9279307358751e-05,33,-0.365007068140306,0.2779,0.398407052986
"Ndufb7",2765,144,0.000257221553249792,0.000231351688305011,803,-0.152299296871664,0.1764,0.279928599450765
"Tecr",1404,42,0.000130610871885247,6.74775757556284e-05,364,-0.942575136234182,0,0
"Dnajb1",1873,20,0.000174240856866857,3.21321789312516e-05,361,-2.40303418385981,0,0
"Gipc1",472,14,4.39090680411941e-05,2.24925252518761e-05,66,-0.934804983980932,0.0021,0.00745131578947368
"Pkn1",761,21,7.07940694477728e-05,3.37387878778142e-05,165,-1.04731725935359,1e-04,0.000512999365884591
"Ddx39",893,40,8.30737240694627e-05,6.42643578625032e-05,207,-0.365359656142504,0.0732,0.137494311585791
"Adgre5",1479,49,0.000137587948374844,7.87238383815664e-05,384,-0.797718729075666,1e-04,0.000512999365884591
"Asf1b",622,11,5.78632210203872e-05,1.76726984121884e-05,146,-1.65643606124487,0.0014,0.00525812441968431
"Prkaca",164,8,1.52565405905844e-05,1.28528715725006e-05,15,-0.230835218359875,0.5832,0.690586651053864
"Samd1",73,3,6.79102111654062e-06,4.81982683968774e-06,6,-0.420836196456576,0.4676,0.588775719844358
"Cc2d1a",129,5,1.2000571562106e-05,8.0330447328129e-06,10,-0.525290793517579,0.2847,0.405639436619718
"Gm26532",340,17,3.16294134195043e-05,2.73123520915639e-05,69,-0.204741443966744,0.5995,0.705037796191307
"D8Ertd738e",2896,130,0.000269408180184954,0.000208859163053135,870,-0.36571733880231,0.001,0.0039214735821619
"Mri1",469,7,4.36299849816103e-05,1.12462626259381e-05,72,-1.86567179340899,0,0
"Ier2",5091,61,0.000473603952113812,9.80031457403174e-05,907,-2.26117784273232,0,0
"Nacc1",137,7,1.27447930543297e-05,1.12462626259381e-05,10,-0.166543657670007,0.6997,0.789150006970584
"Trmt1",372,13,3.46062993883988e-05,2.08859163053135e-05,46,-0.702129715155723,0.0225,0.0530375874125874
"Nfix",167,1,1.55356236501683e-05,1.60660894656258e-06,16,-2.66533139299901,4e-04,0.0017809576224546
"Lyl1",442,8,4.11182374453555e-05,1.28528715725006e-05,67,-1.60425999939577,0,0
"G430095P16Rik",222,2,2.06521464092057e-05,3.21321789312516e-06,26,-2.36151561436512,0,0
"Gadd45gip1",874,43,8.13061980254315e-05,6.90841847021909e-05,173,-0.231912155809366,0.2025,0.312519076688287
"Rad23a",636,39,5.91656086317786e-05,6.26577489159406e-05,118,0.0813970797029916,0.7099,0.796876786457611
"Calr",5053,234,0.00047006890002575,0.000375946493495644,1073,-0.321578336920289,0.0128,0.0334470284237726
"Farsa",422,15,3.92576837147965e-05,2.40991341984387e-05,48,-0.681626568189545,0.0134,0.0347789541225537
"Syce2",373,3,3.46993270749267e-05,4.81982683968774e-06,86,-2.61684874636735,1e-04,0.000512999365884591
"Gcdh",128,1,1.19075438755781e-05,1.60660894656258e-06,6,-2.30796843654958,0.0011,0.0042538240917782
"Dnase2a",342,21,3.18154687925602e-05,3.37387878778142e-05,41,0.0821713725460944,0.7844,0.854192488894871
"Rnaseh2a",294,5,2.73501398392184e-05,8.0330447328129e-06,40,-1.6500715930603,2e-04,0.000972355769230769
