"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"4921524J17Rik",24,60,3.97518820031636e-05,3.18262878772609e-05,12,-0.312015073778471,0.398,0.66386083499006
"Dnaja2",65,206,0.000107661347091901,0.000109270255045262,59,0.0212048447110937,0.9153,0.963437925987874
"Itfg1",17,67,2.81575830855742e-05,3.55393547962746e-05,9,0.325580021872227,0.3547,0.627569641602249
"Phkb",11,32,1.82196125847833e-05,1.69740202012058e-05,6,-0.0966661268932174,0.8629,0.936449741602067
"Lonp2",19,49,3.14702399191712e-05,2.59914684330964e-05,4,-0.266614577838424,0.4767,0.723324676107261
"N4bp1",26,55,4.30645388367605e-05,2.91740972208225e-05,10,-0.546307498862704,0.1385,0.393458803611738
"Cnep1r1",13,29,2.15322694183803e-05,1.53827058073427e-05,4,-0.459818971436852,0.3791,0.648450356778797
"Brd7",27,96,4.4720867253559e-05,5.09220606036174e-05,14,0.183494870468219,0.5282,0.759846342857143
"Snx20",122,523,0.000202072066849415,0.000277419142663457,171,0.455266600460156,0.0035,0.0368598326359833
"Cyld",26,60,4.30645388367605e-05,3.18262878772609e-05,11,-0.424766492841172,0.2283,0.504725318121983
"Chd9",12,45,1.98759410015818e-05,2.38697159079456e-05,5,0.252548797623945,0.5637,0.783669096934548
"Lpcat2",5,37,8.28164208399241e-06,1.96262108576442e-05,4,1.1520268440697,0.05,0.215496575342466
"Amfr",18,89,2.98139115023727e-05,4.72089936846036e-05,14,0.645720486224317,0.0325,0.165257575757576
"Nudt21",56,198,9.2754391340715e-05,0.000105026749994961,59,0.177470123874039,0.3802,0.648788745762712
"Mt2",72,128,0.000119255646009491,6.78960808048232e-05,50,-0.803610808403075,0.0841,0.291314639175258
"Mt1",333,490,0.000551557362793895,0.000259914684330964,124,-1.08254610157967,0.0045,0.0451254980079681
"Nup93",21,51,3.47828967527681e-05,2.70523446956717e-05,11,-0.351148822936815,0.3659,0.636422797927461
"Herpud1",208,516,0.000344516310694084,0.000273706075744443,182,-0.330864997910388,0.0405,0.187732044198895
"Nlrc5",42,109,6.95657935055363e-05,5.78177563103572e-05,21,-0.262717260567772,0.3162,0.595047028037383
"Cpne2",175,465,0.000289857472939734,0.000246653731048772,163,-0.231988015318224,0.1604,0.4234156266387
"Fam192a",27,68,4.4720867253559e-05,3.60697929275623e-05,10,-0.302608713224537,0.3412,0.616732782764811
"Rspry1",17,86,2.81575830855742e-05,4.56176792907406e-05,19,0.67700604884992,0.0505,0.217093936806149
"Arl2bp",23,94,3.80955535863651e-05,4.9861184341042e-05,23,0.37956052032244,0.2437,0.522258748403576
"Ccl22",2373,3390,0.0039304673330628,0.00179818526506524,304,-1.12772411602739,0,0
"Cx3cl1",13,47,2.15322694183803e-05,2.4930592170521e-05,8,0.202662525937227,0.6566,0.833415128593041
"Ccl17",4059,8482,0.00672303704378504,0.00449917622958211,271,-0.579346173285606,0.0692,0.260133730454207
"Ciapin1",26,66,4.30645388367605e-05,3.50089166649869e-05,12,-0.291263910048292,0.4107,0.670113564260278
"Coq9",11,34,1.82196125847833e-05,1.80348964637812e-05,5,-0.0139325328964047,0.977,0.991281120290147
"Polr2c",29,126,4.8033524087156e-05,6.68352045422478e-05,26,0.468265732165069,0.0689,0.259612724550898
"Ccdc102a",12,36,1.98759410015818e-05,1.90957727263565e-05,7,-0.0549491765738546,0.9222,0.966859266972095
"Gins3",7,47,1.15942989175894e-05,2.4930592170521e-05,9,1.04188433872762,0.0322,0.164229787234043
"Ndrg4",0,28,0,1.48522676760551e-05,5,3.98661732837433,0.001,0.0144655172413793
"Got2",76,178,0.000125880959676685,9.44179873692072e-05,55,-0.411142426858394,0.0833,0.290396260387812
"Gm8730",266,761,0.000440583358868396,0.000403663417909925,251,-0.125963371546065,0.2928,0.573077449455677
"Cklf",23,69,3.80955535863651e-05,3.660023105885e-05,13,-0.0562630088394429,0.8727,0.941232904884319
"Cmtm3",30,60,4.96898525039545e-05,3.18262878772609e-05,10,-0.626845352378851,0.0928,0.3114368
"Nae1",46,170,7.61911071727302e-05,9.01744823189058e-05,51,0.240195452179966,0.2928,0.573077449455677
"Rrad",64,169,0.000106005018675103,8.96440441876181e-05,52,-0.239394327299568,0.3967,0.662570603848706
"Fam96b",70,291,0.000115942989175894,0.000154357496204715,94,0.409786481502195,0.0252,0.140173259668508
"Cbfb",29,79,4.8033524087156e-05,4.19046123717268e-05,20,-0.192635703236047,0.5604,0.781022591362126
"Tradd",20,90,3.31265683359697e-05,4.77394318158913e-05,17,0.514194084117899,0.0981,0.321926597131682
"Fbxl8",8,22,1.32506273343879e-05,1.1669638888329e-05,4,-0.169650025129417,0.7815,0.900675975359343
"E2f4",13,55,2.15322694183803e-05,2.91740972208225e-05,9,0.421317980515656,0.299,0.579802003081664
"Tmem208",45,117,7.45347787559317e-05,6.20612613606587e-05,27,-0.260387035483338,0.3046,0.586145412844037
"Tppp3",35,47,5.79714945879469e-05,2.4930592170521e-05,12,-1.185362605601,0.0926,0.310972915276851
"Atp6v0d1",44,251,7.28784503391332e-05,0.000133139970953208,68,0.860513684719882,2e-04,0.00394823529411765
"Ctcf",42,97,6.95657935055363e-05,5.14524987349051e-05,22,-0.427957510500414,0.1158,0.356754712362301
"Thap11",15,41,2.48449262519772e-05,2.17479633827949e-05,5,-0.184143698475473,0.669,0.841303794308537
"Psmb10",126,508,0.000208697380516609,0.000269462570694142,155,0.36712011356095,0.0248,0.139023608017817
"Gm10073",138,362,0.000228573321518191,0.000192018603526141,127,-0.250215093552181,0.1282,0.377623639555296
"Chtf8",19,46,3.14702399191712e-05,2.44001540392333e-05,4,-0.354280798336572,0.3471,0.620490553977273
"Cog8",21,29,3.47828967527681e-05,1.53827058073427e-05,5,-1.12709652774927,0.0237,0.135114156285391
"Nip7",18,66,2.98139115023727e-05,3.50089166649869e-05,10,0.224772367448069,0.526,0.758848109965636
"Cyb5b",36,104,5.96278230047454e-05,5.51655656539188e-05,21,-0.110294115035104,0.7083,0.866518221574344
"Rps18-ps3",23,89,3.80955535863651e-05,4.72089936846036e-05,15,0.302297778867409,0.3274,0.603711208791209
