"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Ccni",729,80,7.05468669255772e-05,0.000120228434024647,149,0.760767624294902,3e-04,0.000905376782077393
"Ccng2",293,58,2.83542277218026e-05,8.7165614667869e-05,42,1.58664780083316,0,0
"Cnot6l",335,18,3.24186562689552e-05,2.70513976555455e-05,37,-0.252581070597172,0.3751,0.460881575456053
"Mrpl1",239,11,2.31285338754636e-05,1.65314096783889e-05,12,-0.460798249554901,0.1501,0.212555600152905
"Anxa3",117,573,1.13223366670679e-05,0.000861136158701533,120,6.12856797142626,0,0
"Gm33370",107,0,1.03546155844126e-05,0,8,-3.50520695867329,1e-04,0.000327541998231653
"Bmp2k",397,143,3.84185269814186e-05,0.000214908325819056,83,2.4534731065042,0,0
"Antxr2",510,32,4.93537752154244e-05,4.80913736098587e-05,88,-0.0366304118085482,0.8755,0.902144402725629
"Rasgef1b",150,6,1.45158162398307e-05,9.01713255184851e-06,22,-0.631270004810917,0.2573,0.336095856840621
"Hnrnpd",1339,53,0.000129577852967555,7.96513375413285e-05,313,-0.695139860493455,3e-04,0.000905376782077393
"Hnrnpdl",1634,122,0.000158125624905889,0.000183348361887586,414,0.212268416977832,0.1129,0.166330503082124
"Enoph1",332,6,3.21283399441586e-05,9.01713255184851e-06,27,-1.7255963221676,0,0
"Sec31a",387,20,3.74508058987632e-05,3.00571085061617e-05,46,-0.308090318770965,0.2383,0.314605256593015
"5430416N02Rik",55,7,5.32246595460459e-06,1.05199879771566e-05,4,0.865579942754766,0.1647,0.230717016449234
"Lin54",159,5,1.53867652142205e-05,7.51427712654043e-06,14,-0.944575137680827,0.0362,0.0624460535506403
"Cops4",883,28,8.54497715984701e-05,4.20799519086264e-05,165,-1.00484551289013,0,0
"Plac8",1748,35,0.00016915764524816,5.2599939885783e-05,215,-1.66656868583644,5e-04,0.00143919968919969
"Coq2",340,5,3.29025168102829e-05,7.51427712654043e-06,30,-1.99343642474017,0,0
"Hpse",103,4,9.96752715135042e-06,6.01142170123234e-06,8,-0.64545936460793,0.1985,0.269702273977627
"Mrps18c",970,40,9.38689450175719e-05,6.01142170123234e-05,197,-0.63442787036289,5e-04,0.00143919968919969
"Wdfy3",107,3,1.03546155844126e-05,4.50856627592426e-06,4,-1.04353008375475,0.0457,0.0762421301508669
"Aff1",137,10,1.32577788323787e-05,1.50285542530809e-05,5,0.168895055787102,0.6714,0.732499278456781
"Hsd17b11",343,37,3.31928331350795e-05,5.56056507363992e-05,45,0.727252113319177,0.0109,0.0219749931972789
"Nudt9",532,207,5.14827615972662e-05,0.000311091073038774,126,2.57205155099867,0,0
"Spp1",946,9,9.1546414419199e-05,1.35256988277728e-05,207,-2.67156952298568,0,0
"BC005561",214,15,2.07092311688251e-05,2.25428313796213e-05,21,0.116979202695479,0.7459,0.797111365931054
"Abcg3",112,5,1.08384761257403e-05,7.51427712654043e-06,13,-0.475527432604389,0.3413,0.425490779067811
"Gbp9",44,23,4.25797276368367e-06,3.4565674782086e-05,6,2.75790696190934,0.0047,0.0105171549380852
"Gbp4",17,36,1.64512584051415e-06,5.41027953110911e-05,8,4.38071724259976,0,0
"Lrrc8c",626,50,6.05793397742268e-05,7.51427712654043e-05,108,0.306260679131525,0.1531,0.21626652049571
