"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Naca",217,236,0.00103866017623718,0.000692829798727072,92,-0.584081506170621,1e-04,0.0130978723404255
"Ptges3",30,43,0.000143593572751684,0.000126235937903661,43,-0.185730442238017,0.650575,0.910942428376535
"Atp5b",138,200,0.000660530434657745,0.000587143897226332,91,-0.169883619337797,0.347325,0.776937754360465
"Baz2a",5,8,2.39322621252806e-05,2.34857558890533e-05,12,-0.0270566159705746,0.967475,0.980111960623462
"Stat2",3,9,1.43593572751684e-05,2.64214753751849e-05,10,0.875157608738742,0.368575,0.792230342178771
"Cnpy2",4,13,1.91458097002245e-05,3.81643533197116e-05,14,0.991456649061281,0.251175,0.709238376891334
"Cs",10,19,4.78645242505612e-05,5.57786702365016e-05,23,0.22032994157272,0.739375,0.940217413757488
"Nabp2",11,7,5.26509766756173e-05,2.05500364029216e-05,15,-1.35305348042515,0.092375,0.526965
"Smarcc2",8,4,3.8291619400449e-05,1.17428779445266e-05,12,-1.69677170220393,0.05415,0.45107902571042
"Myl6",400,740,0.00191458097002245,0.00217243241973743,96,0.182273679967208,0.3594,0.784541218130312
"Esyt1",11,7,5.26509766756173e-05,2.05500364029216e-05,14,-1.35305348042515,0.1036,0.5475669527897
"Zc3h10",2,5,9.57290485011224e-06,1.46785974306583e-05,6,0.611488243712713,0.607975,0.891945450214388
"Rpl41",810,958,0.00387702646429546,0.00281241926771413,99,-0.463124813923568,8e-04,0.049248
"Pa2g4",13,13,6.22238815257296e-05,3.81643533197116e-05,17,-0.703784069272998,0.32405,0.775905017502917
"Rps26",136,99,0.000650957529807633,0.000290636229127034,74,-1.16307417148201,0.000125,0.01425
"Ikzf4",4,4,1.91458097002245e-05,1.17428779445266e-05,6,-0.70052465506323,0.74695,0.944871481329503
"Suox",11,2,5.26509766756173e-05,5.87143897226332e-06,10,-3.14304727224303,0.008225,0.195926538461538
"Rab5b",3,12,1.43593572751684e-05,3.52286338335799e-05,14,1.28883453567615,0.113,0.566261838893409
"Cdk2",8,3,3.8291619400449e-05,8.80715845839498e-06,8,-2.10775425098242,0.114475,0.568227074939565
"Dgka",2,7,9.57290485011224e-06,2.05500364029216e-05,7,1.09412321224663,0.4591,0.846473032026339
"Pym1",6,6,2.87187145503367e-05,1.761431691679e-05,12,-0.702090151342577,0.411825,0.819071896053898
"Mmp19",2,5,9.57290485011224e-06,1.46785974306583e-05,7,0.611488243712713,0.539675,0.879282
"Dnajc14",8,10,3.8291619400449e-05,2.93571948613166e-05,17,-0.382171363427817,0.56885,0.879282
"Ormdl2",15,17,7.17967863758418e-05,4.99072312642382e-05,24,-0.523790556910079,0.39585,0.803271795716639
"Sarnp",14,22,6.70103339507857e-05,6.45858286948966e-05,26,-0.0530852535142836,0.9245,0.971861680327869
"Cd63",284,390,0.00135935248871594,0.00114493059959135,79,-0.247639578569625,0.389825,0.799275524475525
"Bloc1s1",3,4,1.43593572751684e-05,1.17428779445266e-05,7,-0.287983711563664,0.8728,0.965756810631229
"Tespa1",3,11,1.43593572751684e-05,3.22929143474483e-05,9,1.1636748460465,0.2955,0.749216639209226
"Pnpla6",4,7,1.91458097002245e-05,2.05500364029216e-05,8,0.101599956121647,0.905625,0.967841711229947
"Xab2",8,13,3.8291619400449e-05,3.81643533197116e-05,17,-0.00479039807941905,0.99445,0.995808811575354
"Pet100",25,31,0.000119661310626403,9.10073040700815e-05,41,-0.394523290352861,0.355725,0.782645854181558
"Stxbp2",17,30,8.13696912259541e-05,8.80715845839498e-05,38,0.114050347156046,0.782225,0.952957731958763
"Mcemp1",46,42,0.000220176811552582,0.00012330021841753,52,-0.835972683081277,0.021375,0.306760135135135
"Trappc5",10,9,4.78645242505612e-05,2.64214753751849e-05,16,-0.854806713264538,0.28215,0.731640859309183
"Cd209a",4,9,1.91458097002245e-05,2.64214753751849e-05,12,0.462616665239176,0.598575,0.888981351025332
"Timm44",4,12,1.91458097002245e-05,3.52286338335799e-05,14,0.87629359217658,0.26085,0.718865042467591
"Elavl1",23,34,0.000110088405776291,9.98144625284765e-05,42,-0.141207001855061,0.735175,0.939336107076157
"Arglu1",23,18,0.000110088405776291,5.28429507503699e-05,31,-1.05746191879484,0.04295,0.408819106317411
"Abhd13",2,6,9.57290485011224e-06,1.761431691679e-05,8,0.872894721992807,0.37995,0.792348190733852
"Rab20",10,25,4.78645242505612e-05,7.33929871532915e-05,26,0.615638844408012,0.2541,0.714405205479452
"Carkd",5,4,2.39322621252806e-05,1.17428779445266e-05,8,-1.02095274013209,0.38515,0.796950755794424
"Ing1",3,7,1.43593572751684e-05,2.05500364029216e-05,8,0.514140899621212,0.6564,0.913626915254237
"Ankrd10",2,5,9.57290485011224e-06,1.46785974306583e-05,7,0.611488243712713,0.550075,0.879282
"Atp11a",2,7,9.57290485011224e-06,2.05500364029216e-05,9,1.09412321224663,0.267425,0.720067880364109
"Lamp1",219,139,0.00104823308108729,0.000408065008572301,73,-1.36087275673489,0,0
"Tmco3",1,8,4.78645242505612e-06,2.34857558890533e-05,6,2.27105648726028,0.174675,0.642688603818616
"Cdc16",4,7,1.91458097002245e-05,2.05500364029216e-05,10,0.101599956121647,0.887375,0.965756810631229
"Upf3a",12,9,5.74374291006735e-05,2.64214753751849e-05,17,-1.11733972569885,0.1248,0.585567881548975
"Erich1",10,3,4.78645242505612e-05,8.80715845839498e-06,11,-2.42893058234544,0.03555,0.385291901408451
"Gm6483",22,22,0.000105301953351235,6.45858286948966e-05,33,-0.704380016030644,0.172925,0.642341162372678
"Gm21092",8,14,3.8291619400449e-05,4.11000728058433e-05,20,0.10185547091767,0.86975,0.965756810631229
"Vps36",6,7,2.87187145503367e-05,2.05500364029216e-05,12,-0.480861661088753,0.577575,0.879282
"Mrps31",4,6,1.91458097002245e-05,1.761431691679e-05,10,-0.119628534132177,0.89575,0.965756810631229
"Smim19",4,9,1.91458097002245e-05,2.64214753751849e-05,11,0.462616665239176,0.65575,0.913302488687783
"Vdac3",25,49,0.000119661310626403,0.000143850254820451,45,0.265408427808066,0.53485,0.879282
