"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Tomm20",2538,483,0.000242360650026924,0.000188259835991773,810,-0.362727631455827,0,0
"Rbm34",256,53,2.44461490964904e-05,2.06579116098633e-05,37,-0.232553205917526,0.22245,0.279934437735849
"Nrp1",848,34,8.09778688821244e-05,1.32522451836859e-05,201,-2.52404527807271,0,0
"Itgb1",1609,895,0.000153647866782238,0.000348845865864672,674,1.17773251041676,0,0
"Flnb",102,48,9.74026253063289e-06,1.87090520240271e-05,15,0.875829128164574,0.003,0.00554813664596273
"Dnase1l3",554,122,5.29029945291237e-05,4.75521738944022e-05,141,-0.150829529848482,0.54035,0.602984600455093
"Rpp14",201,17,1.91940467515413e-05,6.62612259184293e-06,18,-1.40490841800226,0,0
"Pxk",138,47,1.31780022473268e-05,1.83192801068599e-05,9,0.446387072294879,0.05805,0.084594100681699
"Pdhb",464,70,4.43086452373888e-05,2.72840342017062e-05,84,-0.679798444865073,0,0
"4930452B06Rik",86,10,8.21237821210224e-06,3.89771917167231e-06,4,-0.911463587695785,0.0047,0.00841578608247423
"3830406C13Rik",551,204,5.26165162193992e-05,7.95134711021152e-05,136,0.586552705798716,0,0
"Thoc7",1042,194,9.95034662443085e-05,7.56157519304429e-05,283,-0.391532318278824,5e-05,0.000116895681435782
"Atxn7",238,90,2.27272792381434e-05,3.50794725450508e-05,37,0.60463156869598,0.0022,0.00418657840675645
"Psmd6",797,193,7.61077376168079e-05,7.52259800132756e-05,204,-0.0165928455179583,0.87745,0.900285195668226
"Il3ra",169,76,1.613827811448e-05,2.96226657047096e-05,25,0.837377706053854,3e-04,0.000644115374710275
"Slc4a7",308,24,2.9411773131715e-05,9.35452601201355e-06,44,-1.55436841951518,0,0
"Ngly1",413,85,3.94385139720724e-05,3.31306129592147e-05,61,-0.244663657944291,0.10405,0.142886649645857
"Top2b",605,75,5.77731257944402e-05,2.92328937875423e-05,121,-0.959037553439925,0,0
"Rarb",79,3,7.54392882274508e-06,1.16931575150169e-06,5,-1.97765957074973,0,0
"Rpl15",1897,432,0.00018114978451579,0.000168381468216244,659,-0.104849248258653,0.1441,0.190752889806288
"Ube2e1",1228,167,0.000117265121447227,6.50919101669276e-05,346,-0.839479061406921,0,0
"Ube2e2",20,13,1.90985539816331e-06,5.06703492317401e-06,4,1.06004415397746,0.02225,0.0350327195467422
"Nid2",71,2,6.77998666347975e-06,7.79543834334462e-07,5,-2.12826021188854,0,0
"2700060E02Rik",4656,1094,0.000444614336692419,0.000426410477380951,1287,-0.0601733749464947,0.2407,0.299957533632287
"Gng2",1090,39,0.0001040871191999,1.5201104769522e-05,270,-2.6974217448795,0,0
"Saysd1",273,45,2.60695261849292e-05,1.75397362725254e-05,33,-0.546048913574577,0.00465,0.00833879328887933
"Ecd",268,44,2.55920623353884e-05,1.71499643553582e-05,31,-0.5510289541762,0.0039,0.00706986301369863
"Dnajc9",629,55,6.00649522722361e-05,2.14374554441977e-05,151,-1.44443552053666,0,0
"Mrps16",991,231,9.46333349789921e-05,9.00373128656304e-05,270,-0.0710556126334827,0.448,0.514672178586193
"Anxa7",1158,343,0.000110580627553656,0.00013369176758836,361,0.271575104878439,0.0043,0.00774780635400908
"Ppp3cb",191,83,1.82391190524596e-05,3.23510691248802e-05,32,0.793690269685332,0.00025,0.000540801764400623
"2810402E24Rik",81,17,7.73491436256141e-06,6.62612259184293e-06,4,-0.195843836036465,0.5263,0.590308502623436
"Sec24c",174,41,1.66157419640208e-05,1.59806486038565e-05,11,-0.0529736754663695,0.80405,0.839389537941398
"Fut11",127,20,1.2127581778337e-05,7.79543834334462e-06,5,-0.577773797941934,0.02465,0.0385277559055118
"Chchd1",1074,188,0.00010255923488137,7.32771204274395e-05,294,-0.479466420314625,0,0
"Zswim8",133,41,1.2700538397786e-05,1.59806486038565e-05,7,0.309658977357305,0.19645,0.250889039522059
"Ndst2",117,21,1.11726540792554e-05,8.18521026051186e-06,9,-0.406259110243526,0.13785,0.183323568352209
"Camk2g",195,29,1.86210901320923e-05,1.13033855978497e-05,20,-0.673349833355032,0.0036,0.00655596330275229
"Vcl",85,22,8.11688544219407e-06,8.57498217767909e-06,9,0.0707287541136709,0.81535,0.848423982775836
"Ap3m1",308,53,2.9411773131715e-05,2.06579116098633e-05,34,-0.489735797836846,0.0075,0.0129483329881963
"Adk",451,13,4.30672392285827e-05,5.06703492317401e-06,71,-2.86064299497421,0,0
"Kat6b",125,19,1.19365962385207e-05,7.40566642617739e-06,6,-0.622023967992536,0.02125,0.0335787054586808
"Vdac2",2727,670,0.000260408783539567,0.000261147184502045,877,0.00406943355860563,0.95175,0.960505961747972
"Comtd1",102,50,9.74026253063289e-06,1.94885958583616e-05,10,0.931791857341889,0.0011,0.00219027943635061
